input_length,lr,seed,MAE (MW),RMSE (MW),MAPE,MASE,RMSSE,R2
168,0.0005,42,826.07,1267.1,1.85,0.33,0.34,0.96
168,0.0005,123,840.55,1268.13,1.88,0.33,0.34,0.96
168,0.0005,7,902.25,1334.86,2.0,0.36,0.36,0.95
