config,seed,overall,normal,weekend,holiday,day_before,day_after,bridge,carnaval
nocov,42,1.8546525356351762,1.684924883999871,1.588034343443218,5.868694914504995,2.4030958747878235,2.456053338291263,2.6009324093471413,5.28842695835538
nocov,123,1.884287713797236,1.720547022857287,1.6184088214896457,5.961810628602548,2.3532184103349536,2.7257488936092265,2.044088654769715,4.878116273434533
nocov,7,2.0006383026050774,1.8714175204452133,1.6739452188595565,6.170257323364791,2.1477642687743654,2.7866614187455374,2.3435750486979092,4.86785560677891
cov,42,2.212554900259555,1.9544503238465554,2.0691070590830014,6.526858653854198,2.839752542556922,3.43860679683615,2.8652217222685756,5.951420623972701
cov,123,2.239847595464734,2.0379785027265096,2.04467031270345,6.010503433130298,2.600776377412921,3.2857657118938426,3.3408350578753785,6.026781388561619
cov,7,2.1430602465097053,1.9559200978142983,1.875167490838926,6.35794921544449,2.556645652733968,2.509019141932479,3.3522208926238175,7.343844993964839
