,MAE (MW),RMSE (MW),MAPE,MASE,RMSSE,R2
N-BEATS (trained),433.18,638.42,3.12,0.35,0.35,0.95
Chronos-2 (zero-shot),437.16,663.11,3.17,0.35,0.36,0.94
Moirai 2.0 (zero-shot),459.5,690.22,3.35,0.37,0.38,0.94
TiRex (zero-shot),460.53,715.77,3.37,0.37,0.39,0.93
Naive (7d ago) (zero-shot),971.9,1329.55,7.11,0.78,0.73,0.77
