input_length,lr,seed,MAE (MW),RMSE (MW),MAPE,MASE,RMSSE,R2
168,0.0001,42,439.42,660.23,3.17,0.35,0.36,0.94
168,0.0001,123,489.42,696.67,3.5,0.39,0.38,0.94
168,0.0001,7,433.18,638.42,3.12,0.35,0.35,0.95
