input_length,lr,seed,MAE (MW),RMSE (MW),MAPE,MASE,RMSSE,R2
168,0.0001,42,950.67,1396.14,2.14,0.37,0.37,0.95
168,0.0005,42,826.07,1267.1,1.85,0.33,0.34,0.96
168,0.001,42,848.51,1277.47,1.89,0.33,0.34,0.96
336,0.0001,42,887.61,1333.39,1.99,0.35,0.36,0.96
336,0.0005,42,860.39,1304.21,1.93,0.34,0.35,0.96
336,0.001,42,911.14,1400.47,2.05,0.36,0.37,0.95
720,0.0001,42,969.29,1456.06,2.17,0.38,0.39,0.95
720,0.0005,42,962.44,1446.76,2.15,0.38,0.39,0.95
720,0.001,42,946.84,1441.44,2.14,0.37,0.38,0.95
