,MAE (MW),RMSE (MW),MAPE,MASE,RMSSE,R2
Chronos-2 (zero-shot),1338.24,2080.57,3.91,0.59,0.64,0.91
N-BEATS (trained),1508.57,2294.86,4.44,0.67,0.71,0.89
Naive (7d ago) (zero-shot),2932.75,4171.75,8.86,1.3,1.29,0.65
