,CRPS (MW),MAE (MW),MAPE,80% PI Coverage,80% PI Width (MW),Winkler Score
Chronos-2,643.17,829.3,1.86,88.71,3294.73,4353.57
Moirai 2.0,688.38,857.77,1.93,86.21,3023.68,4377.76
